Model,Mesh ID,Mesh Index,Mean IoU,Mean Dice,Std IoU,Std Dice
Finetuned Multimodal (MM + Geo-aware mem),439ee7ebf11d45739dbef21b91669c1b,56,62.012020498514175,68.18055336674055,13.186774830352041,13.307462772278257
Finetuned Multimodal (MM + Geo-aware mem),7b15e31faa7141329dad5f83089f678a,107,22.06090403099855,26.905905952056248,8.970585488539804,8.645679929018229
Finetuned Multimodal (MM + Geo-aware mem),f45ac2100d2342fa8ab39d38d0f874ba,191,85.09872232874235,87.18468273679414,19.419474729867716,19.161914099330474
Finetuned Multimodal (MM + Geo-aware mem),d1a5633cfa0740d59bce4d3ea051329d,166,41.714222356677055,45.55160080393155,14.954972400499825,14.051665034085692
Finetuned Multimodal (MM + Geo-aware mem),4017fc4184ef4c2782a0231113258a17,50,57.42678493261337,59.92946699261665,9.970393204099604,9.708998068235097
Finetuned Multimodal (MM + Geo-aware mem),ab9804f981184f8db6f1f814c2b8c169,143,78.70738357305527,85.63678761323294,11.90714449463188,9.883300883976139
Finetuned Multimodal (MM + Geo-aware mem),f98f9602167641529eb3f8044b61692f,197,74.5555410782496,77.40119944016138,9.32689772469459,8.684816245817105
Finetuned Multimodal (MM + Geo-aware mem),b8915325eadc4f86af543daaf10702de,154,73.88428201278052,79.188372194767,6.691381171667826,6.042831877405859
Finetuned Multimodal (MM + Geo-aware mem),8eda5c8b64f64096b3995a08f6095644,129,61.20229239265124,68.52792302767435,11.680952706447318,10.06223147300493
Finetuned Multimodal (MM + Geo-aware mem),474fd643f4204ee59ff73fe9b1916239,59,25.377746174732845,30.115893483161926,7.214707941523005,6.8988056989523105
Finetuned Multimodal (MM + Geo-aware mem),42e5ff17de214f0d8aabd509f090a46c,55,71.63006067276001,75.19682385027409,18.875405867671077,18.371902146455056
Finetuned Multimodal (MM + Geo-aware mem),2084a523a5df4567844524afef5912db,23,39.97179542978604,46.98522463440895,13.469984785205853,12.559605071989813
Finetuned Multimodal (MM + Geo-aware mem),053b8a4984e340ad94f3b563594ff09d,7,61.58860698342323,68.58508537213007,8.812454518056727,7.915608796294081
Finetuned Multimodal (MM + Geo-aware mem),062c791e78a643f7bd380c336f809389,8,51.479778438806534,59.83061293760935,11.885269556936183,10.641913452611957
Finetuned Multimodal (MM + Geo-aware mem),7b7b140d42cf447d87ab5e1ef407d9ae,108,39.7079162299633,45.15274365743001,13.691170524066015,12.773961874102252
Finetuned Multimodal (MM + Geo-aware mem),b5aa31a84cc746a982228827c5185ac3,151,32.51156421999137,35.57816383739312,6.50033234624733,5.997259853567825
Finetuned Multimodal (MM + Geo-aware mem),1d97ec6885464f6a9ce7a4cc955bff41,22,83.58003596464792,85.15714655319849,14.389789070509146,13.906232516107927
Finetuned Multimodal (MM + Geo-aware mem),9f43d0ac857541e8a3a92e20ba284c44,139,75.47837321956953,79.55742081006369,15.038915668922092,13.813746861518094
Finetuned Multimodal (MM + Geo-aware mem),da7af66ce5df4629802e97dc03d186f5,173,77.1899183591207,79.04401868581772,14.445830831760254,13.531876358756847
Finetuned Multimodal (MM + Geo-aware mem),238bdb0c4e3e4432951c31c85a55a9c8,26,27.324906115730602,31.372300535440445,10.130405375970774,9.280536814544234
Finetuned Multimodal (MM + Geo-aware mem),f1150d2342a8470e912942c49e978f28,188,43.11956850190957,50.57403246561686,16.98651165033364,15.649973363347275
Finetuned Multimodal (MM + Geo-aware mem),2e5436e635dc4336984c76a5f92c7141,35,55.939413607120514,60.36485036214193,11.972369677442332,11.394074837039101
Finetuned Multimodal (MM + Geo-aware mem),45adf40fce0a4690878d1c23c95f8477,57,48.353057603041336,52.775889386733375,8.179935550334976,8.37208268712248
Finetuned Multimodal (MM + Geo-aware mem),4b57e73e82ab400aa307adac36ea0e5e,62,37.808776150147125,44.758687913417816,5.129203993612877,5.501679710586083
