Mesh_ID,Mesh_Index,Modality,GT_Instance_ID,IoU,Dice,GT_Area,Pred_Area,Num_Predicted_Masks,Best_Pred_Mask_ID
3a5ed2b8d5c5468897e797dcaba508a1,44,normal,5,0.44469714164733887,0.6156268119812012,13188,5869,8,6
3a5ed2b8d5c5468897e797dcaba508a1,44,normal,6,0.005238926969468594,0.010423246771097183,642,5690,8,7
3a5ed2b8d5c5468897e797dcaba508a1,44,normal,7,0.00010937429033219814,0.00021872465731576085,78024,31703,8,2
3a5ed2b8d5c5468897e797dcaba508a1,44,normal,9,0.0,0.0,2117,810770,8,0
3a5ed2b8d5c5468897e797dcaba508a1,44,normal,10,0.7616811394691467,0.8647207617759705,8059,6570,8,4
3a5ed2b8d5c5468897e797dcaba508a1,44,normal,11,0.41333431005477905,0.5849066376686096,13643,5690,8,7
3a5ed2b8d5c5468897e797dcaba508a1,44,normal,12,0.0003267439897172153,0.0006532745319418609,254,5869,8,6
3a5ed2b8d5c5468897e797dcaba508a1,44,normal,13,0.6354685425758362,0.7771088480949402,42407,62734,8,1
3a5ed2b8d5c5468897e797dcaba508a1,44,normal,14,0.0,0.0,3889,810770,8,0
3a5ed2b8d5c5468897e797dcaba508a1,44,normal,15,0.34851914644241333,0.5168916583061218,21864,62734,8,1
3a5ed2b8d5c5468897e797dcaba508a1,44,point,1,0.2008136808872223,0.3344626724720001,36129,177563,7,3
3a5ed2b8d5c5468897e797dcaba508a1,44,point,3,0.0,0.0,2154,740140,7,0
3a5ed2b8d5c5468897e797dcaba508a1,44,point,4,0.36146676540374756,0.5309960842132568,7355,19229,7,4
3a5ed2b8d5c5468897e797dcaba508a1,44,point,5,0.5554967522621155,0.7142370939254761,13188,7385,7,6
3a5ed2b8d5c5468897e797dcaba508a1,44,point,6,0.028413208201527596,0.05525640398263931,642,19229,7,4
3a5ed2b8d5c5468897e797dcaba508a1,44,point,7,0.4298493564128876,0.6012512445449829,78024,177563,7,3
3a5ed2b8d5c5468897e797dcaba508a1,44,point,9,0.017930377274751663,0.03522908315062523,2117,19229,7,4
3a5ed2b8d5c5468897e797dcaba508a1,44,point,10,0.0,0.0,8059,740140,7,0
3a5ed2b8d5c5468897e797dcaba508a1,44,point,11,0.5102453231811523,0.6757118701934814,13643,19229,7,4
3a5ed2b8d5c5468897e797dcaba508a1,44,point,12,0.004206651821732521,0.008378059603273869,254,7385,7,6
3a5ed2b8d5c5468897e797dcaba508a1,44,point,13,0.23180736601352692,0.37636950612068176,42407,177563,7,3
3a5ed2b8d5c5468897e797dcaba508a1,44,point,14,0.005775732919573784,0.011485131457448006,3889,177563,7,3
3a5ed2b8d5c5468897e797dcaba508a1,44,point,15,0.35796934366226196,0.5272127389907837,21864,7828,7,5
3a5ed2b8d5c5468897e797dcaba508a1,44,matte,1,0.4572288393974304,0.6275319457054138,36129,16646,11,3
3a5ed2b8d5c5468897e797dcaba508a1,44,matte,3,0.0,0.0,2154,811270,11,0
3a5ed2b8d5c5468897e797dcaba508a1,44,matte,4,0.8062348961830139,0.8927242755889893,7355,6087,11,9
3a5ed2b8d5c5468897e797dcaba508a1,44,matte,5,0.01408810168504715,0.027784768491983414,13188,6679,11,7
3a5ed2b8d5c5468897e797dcaba508a1,44,matte,6,0.0,0.0,642,811270,11,0
3a5ed2b8d5c5468897e797dcaba508a1,44,matte,7,0.9519772529602051,0.9753978848457336,78024,76475,11,1
3a5ed2b8d5c5468897e797dcaba508a1,44,matte,9,0.0,0.0,2117,811270,11,0
3a5ed2b8d5c5468897e797dcaba508a1,44,matte,10,0.767994225025177,0.8687745928764343,8059,6679,11,7
3a5ed2b8d5c5468897e797dcaba508a1,44,matte,11,0.4294613301753998,0.6008715629577637,13643,5862,11,10
3a5ed2b8d5c5468897e797dcaba508a1,44,matte,12,0.00041437282925471663,0.0008284023497253656,254,16646,11,3
3a5ed2b8d5c5468897e797dcaba508a1,44,matte,13,0.6260210871696472,0.770003616809845,42407,62099,11,2
3a5ed2b8d5c5468897e797dcaba508a1,44,matte,14,0.013136330060660839,0.025932010263204575,3889,76475,11,1
3a5ed2b8d5c5468897e797dcaba508a1,44,matte,15,0.3520829677581787,0.5208008289337158,21864,62099,11,2
3acbbe6269234a22b93f7e44aa8b1798,45,normal,1,0.04856115207076073,0.09262435883283615,796,15528,4,3
