Model,Mesh ID,Mesh Index,Mean IoU,Mean Dice,Std IoU,Std Dice,iou_view_0,iou_view_1,iou_view_2,iou_view_3,iou_view_4,iou_view_5,iou_view_6,iou_view_7,iou_view_8,iou_view_9,iou_view_10,iou_view_11,dice_view_0,dice_view_1,dice_view_2,dice_view_3,dice_view_4,dice_view_5,dice_view_6,dice_view_7,dice_view_8,dice_view_9,dice_view_10,dice_view_11
Dual (Normal+Point) + Geo-aware mem (GT prompts),84c69258a64f421080b44ed49650da52,114,81.86686784029007,86.29877865314484,12.721079774575147,11.346842184911976,98.64871501922607,96.09730243682861,93.38854551315308,88.86792063713074,83.07684659957886,87.9410982131958,88.69998455047607,78.62464189529419,76.22377276420593,73.51537346839905,59.5687210559845,57.749491930007935,99.31578636169434,97.90403246879578,96.27482891082764,92.99683570861816,87.9740059375763,92.6522433757782,93.10662746429443,83.67289900779724,82.35201239585876,79.93735671043396,67.04140901565552,62.357306480407715
Dual (Normal+Point) + Geo-aware mem (GT prompts),439ee7ebf11d45739dbef21b91669c1b,56,62.012020498514175,68.18055336674055,13.186774830352041,13.307462772278257,91.01238250732422,70.26304006576538,59.5365047454834,57.35102891921997,67.49675869941711,66.60305261611938,71.38760089874268,64.30320143699646,57.99511671066284,58.06364417076111,37.78083920478821,42.35107600688934,93.96196603775024,74.49426054954529,66.71983599662781,62.50751614570618,76.3496458530426,74.99232292175293,78.08054685592651,72.62260317802429,66.27748608589172,63.1142795085907,42.694759368896484,46.351417899131775
Dual (Normal+Point) + Geo-aware mem (GT prompts),7b15e31faa7141329dad5f83089f678a,107,22.06090403099855,26.905905952056248,8.970585488539804,8.645679929018229,47.89196252822876,20.706602931022644,16.00525975227356,16.38360321521759,16.918812692165375,22.178781032562256,22.382427752017975,17.52164661884308,15.395866334438324,14.819864928722382,23.420216143131256,31.105804443359375,48.89158308506012,26.060518622398376,18.44629794359207,21.310308575630188,21.273228526115417,27.565309405326843,28.820624947547913,21.663029491901398,21.374712884426117,19.53248232603073,28.397053480148315,39.5357221364975
Dual (Normal+Point) + Geo-aware mem (GT prompts),f45ac2100d2342fa8ab39d38d0f874ba,191,85.09872232874235,87.18468273679414,19.419474729867716,19.161914099330474,99.23171997070312,97.37389087677002,94.64300870895386,97.33251929283142,95.93231678009033,98.15582036972046,96.72729969024658,47.533419728279114,58.25144052505493,49.74355101585388,93.46049427986145,92.79918670654297,99.61385130882263,98.6602783203125,97.24239110946655,98.64331483840942,97.89285659790039,99.06574487686157,98.32185506820679,48.735520243644714,64.98410701751709,50.22537708282471,96.56862020492554,96.26227617263794
Dual (Normal+Point) + Geo-aware mem (GT prompts),d1a5633cfa0740d59bce4d3ea051329d,166,41.714222356677055,45.55160080393155,14.954972400499825,14.051665034085692,80.47072887420654,61.1189067363739,29.934000968933105,42.0413464307785,24.74076598882675,33.63732099533081,50.53337216377258,41.58322811126709,32.86561965942383,34.37364399433136,35.820770263671875,33.45096409320831,81.13369941711426,62.34421730041504,35.19454598426819,45.31859755516052,28.271031379699707,39.80722427368164,56.56375288963318,47.71544933319092,37.11371123790741,37.646424770355225,38.520172238349915,36.99038326740265
Dual (Normal+Point) + Geo-aware mem (GT prompts),4017fc4184ef4c2782a0231113258a17,50,57.42678493261337,59.92946699261665,9.970393204099604,9.708998068235097,71.1798369884491,60.53997278213501,58.78519415855408,29.95990812778473,55.53866624832153,59.26865339279175,59.90840792655945,59.59228873252869,64.01000022888184,66.37974381446838,56.288886070251465,47.66986072063446,72.91960716247559,61.50051951408386,60.5584979057312,33.832091093063354,59.27441716194153,63.584113121032715,61.292147636413574,60.99478602409363,66.79354906082153,69.81154084205627,59.467172622680664,49.12516176700592
Dual (Normal+Point) + Geo-aware mem (GT prompts),ab9804f981184f8db6f1f814c2b8c169,143,78.70738357305527,85.63678761323294,11.90714449463188,9.883300883976139,96.8100368976593,86.57979965209961,86.12989783287048,72.06737399101257,75.38112998008728,79.6078622341156,91.91376566886902,87.0072066783905,82.1178138256073,71.51590585708618,59.86797213554382,55.48983812332153,98.36112856864929,92.54512786865234,92.21357703208923,82.03288316726685,84.62497591972351,84.3432366847992,95.73822021484375,92.85006523132324,89.94919061660767,79.35132384300232,73.11856150627136,62.513160705566406
Dual (Normal+Point) + Geo-aware mem (GT prompts),f98f9602167641529eb3f8044b61692f,197,74.5555410782496,77.40119944016138,9.32689772469459,8.684816245817105,97.98475503921509,83.0594003200531,74.53740239143372,71.45106196403503,73.96259903907776,72.52669930458069,84.08610820770264,70.18818855285645,68.47332715988159,67.38942265510559,60.68602204322815,70.32150626182556,98.97403717041016,85.93001961708069,78.68911623954773,73.8669753074646,77.78164148330688,73.74014258384705,85.75222492218018,72.46034741401672,71.4761734008789,72.4194586277008,64.42478895187378,73.29946756362915
Dual (Normal+Point) + Geo-aware mem (GT prompts),b8915325eadc4f86af543daaf10702de,154,73.88428201278052,79.188372194767,6.691381171667826,6.042831877405859,93.55056285858154,73.29950332641602,69.58416104316711,68.42584013938904,70.16364932060242,80.62058687210083,72.91182279586792,72.87733554840088,73.39901924133301,72.75286912918091,68.80847215652466,70.21756172180176,96.45638465881348,79.20569181442261,78.36549282073975,78.03274393081665,78.07136178016663,85.92470288276672,73.93003106117249,73.91393780708313,74.18317198753357,76.82119607925415,78.2602071762085,77.09554433822632
Dual (Normal+Point) + Geo-aware mem (GT prompts),8eda5c8b64f64096b3995a08f6095644,129,61.20229239265124,68.52792302767435,11.680952706447318,10.06223147300493,87.00646758079529,64.61846828460693,58.839112520217896,52.68034338951111,54.325175285339355,74.054354429245,67.03968048095703,58.100706338882446,67.61665940284729,61.79823875427246,45.592302083969116,42.75600016117096,89.16204571723938,69.09939050674438,65.80462455749512,60.416990518569946,60.84669828414917,80.52468299865723,73.48750233650208,68.87205839157104,75.76574087142944,70.59023976325989,54.985398054122925,52.779704332351685
